Code,C. sanitaire,Milieu,Province,Type infrastructure,Nombre,territoire_id
5101005,Al Hoceima,Urbain,Al Hoceima,Centre d'hémodialyse,1,7
5101005,Al Hoceima,Urbain,Al Hoceima,Laboratoire d'analyses,3,7
5101005,Al Hoceima,Urbain,Al Hoceima,Officines de pharmacie,26,7
5101005,Al Hoceima,Urbain,Al Hoceima,Centre de kinésithérapie,2,7
5101005,Al Hoceima,Urbain,Al Hoceima,Cabinet de chirurgie dentaire,9,7
5101005,Al Hoceima,Urbain,Al Hoceima,Cabinets de consultation médicale,25,7
5101005,Al Hoceima,Urbain,Al Hoceima,Infirmeries,2,7
5101010,Bni Bouayach,Urbain,Al Hoceima,Laboratoire d'analyses,1,7
5101010,Bni Bouayach,Urbain,Al Hoceima,Officines de pharmacie,6,7
5101010,Bni Bouayach,Urbain,Al Hoceima,Cabinets de consultation médicale,3,7
5101015,Imzouren,Urbain,Al Hoceima,Cabinets de consultation médicale,6,7
5101015,Imzouren,Urbain,Al Hoceima,Cabinet de chirurgie dentaire,4,7
5101015,Imzouren,Urbain,Al Hoceima,Officines de pharmacie,13,7
5101015,Imzouren,Urbain,Al Hoceima,Laboratoire d'analyses,1,7
5101020,Targuist,Urbain,Al Hoceima,Officines de pharmacie,8,7
5101020,Targuist,Urbain,Al Hoceima,Laboratoire d'analyses,1,7
5101020,Targuist,Urbain,Al Hoceima,Cabinets de consultation médicale,2,7
5101025,Ajdir,Urbain,Al Hoceima,Officines de pharmacie,2,7
5103005,B.Gmil Mestassa,Rural,Al Hoceima,Officines de pharmacie,1,7
5103005,B.Gmil Mestassa,Rural,Al Hoceima,Officines de pharmacie,1,7
5103010,Bni Boufrah,Rural,Al Hoceima,Officines de pharmacie,1,7
5105005,Ait Yous.Ou Ali,Rural,Al Hoceima,Officines de pharmacie,1,7
5105025,Imrabten,Rural,Al Hoceima,Officines de pharmacie,1,7
5105030,Nekkour,Rural,Al Hoceima,Officines de pharmacie,1,7
5107005,Bni Ammart,Rural,Al Hoceima,Officines de pharmacie,1,7
5109005,Issaguen,Rural,Al Hoceima,Cabinets de consultation médicale,2,7
5109005,Issaguen,Rural,Al Hoceima,Officines de pharmacie,4,7
5109010,Ketama,Rural,Al Hoceima,Officines de pharmacie,3,7
5109010,Ketama,Rural,Al Hoceima,Cabinets de consultation médicale,1,7
5109020,Ikaouen,Rural,Al Hoceima,Cabinets de consultation médicale,1,7
5111010,Bni Hadifa,Rural,Al Hoceima,Officines de pharmacie,1,7
5111015,Rouadi,Rural,Al Hoceima,Officines de pharmacie,1,7
5111020,Izemmouren,Rural,Al Hoceima,Officines de pharmacie,1,7
15101005,Chefchaouen,Urbain,Chefchaouen,Ambulances,1,8
15101005,Chefchaouen,Urbain,Chefchaouen,Infirmeries,5,8
15101005,Chefchaouen,Urbain,Chefchaouen,Cabinets de consultation médicale,15,8
15101005,Chefchaouen,Urbain,Chefchaouen,Cabinet de chirurgie dentaire,4,8
15101005,Chefchaouen,Urbain,Chefchaouen,Centre de kinésithérapie,3,8
15101005,Chefchaouen,Urbain,Chefchaouen,Centre d'hémodialyse,3,8
15101005,Chefchaouen,Urbain,Chefchaouen,Officines de pharmacie,17,8
15101005,Chefchaouen,Urbain,Chefchaouen,Laboratoire d'analyses,2,8
15103005,Tamorot,Rural,Chefchaouen,Officines de pharmacie,1,8
15103010,Bab Berred,Rural,Chefchaouen,Officines de pharmacie,5,8
15103010,Bab Berred,Rural,Chefchaouen,Cabinets de consultation médicale,3,8
15105005,Fifi,Rural,Chefchaouen,Officines de pharmacie,1,8
15105010,Tanaqoub,Rural,Chefchaouen,Officines de pharmacie,1,8
15105010,Tanaqoub,Rural,Chefchaouen,Officines de pharmacie,1,8
15105015,Bab Taza,Rural,Chefchaouen,Officines de pharmacie,4,8
15105015,Bab Taza,Rural,Chefchaouen,Cabinets de consultation médicale,4,8
15105015,Bab Taza,Rural,Chefchaouen,Infirmeries,2,8
15105025,Derdara,Rural,Chefchaouen,Officines de pharmacie,1,8
15106005,Oued Malha,Rural,Chefchaouen,Officines de pharmacie,1,8
15106005,Oued Malha,Rural,Chefchaouen,Officines de pharmacie,1,8
15106010,Bni Ahmed,Rural,Chefchaouen,Cabinets de consultation médicale,1,8
15106010,Bni Ahmed,Rural,Chefchaouen,Officines de pharmacie,3,8
15107015,Bou Ahmed,Rural,Chefchaouen,Officines de pharmacie,1,8
15107015,Bou Ahmed,Rural,Chefchaouen,Cabinets de consultation médicale,1,8
15107015,Bou Ahmed,Rural,Chefchaouen,Officines de pharmacie,1,8
15107015,Bou Ahmed,Rural,Chefchaouen,Cabinets de consultation médicale,1,8
15107025,Kaa asrass,Rural,Chefchaouen,Officines de pharmacie,3,8
15109005,Bni Rzine,Rural,Chefchaouen,Cabinets de consultation médicale,1,8
15109005,Bni Rzine,Rural,Chefchaouen,Officines de pharmacie,2,8
15109010,Jebha,Rural,Chefchaouen,Officines de pharmacie,1,8
15109010,Jebha,Rural,Chefchaouen,Officines de pharmacie,1,8
15109010,Jebha,Rural,Chefchaouen,Cabinets de consultation médicale,1,8
15111005,Assifane,Rural,Chefchaouen,Cabinets de consultation médicale,1,8
15111005,Assifane,Rural,Chefchaouen,Officines de pharmacie,1,8
22703005,Jouamaa,Rural,Fahs-Anjra,Officines de pharmacie,2,5
22703010,Ksar El Majaz,Rural,Fahs-Anjra,Officines de pharmacie,3,5
22703020,Anjra,Rural,Fahs-Anjra,Cabinets de consultation médicale,1,5
22703020,Anjra,Rural,Fahs-Anjra,Officines de pharmacie,2,5
22705005,Ksar Sghir,Rural,Fahs-Anjra,Officines de pharmacie,3,5
22705005,Ksar Sghir,Rural,Fahs-Anjra,Cabinets de consultation médicale,1,5
22705010,Mellousa,Rural,Fahs-Anjra,Officines de pharmacie,3,5
22705015,Al Bahraoyine,Rural,Fahs-Anjra,Officines de pharmacie,7,5
33101005,Ksar El Kebir,Urbain,Larache,Ambulances,3,6
33101005,Ksar El Kebir,Urbain,Larache,Infirmeries,4,6
33101005,Ksar El Kebir,Urbain,Larache,Cabinets de consultation médicale,24,6
33101005,Ksar El Kebir,Urbain,Larache,Cabinet de chirurgie dentaire,8,6
33101005,Ksar El Kebir,Urbain,Larache,Centre de kinésithérapie,3,6
33101005,Ksar El Kebir,Urbain,Larache,Officines de pharmacie,43,6
33101005,Ksar El Kebir,Urbain,Larache,Laboratoire d'analyses,3,6
33101010,Larache,Urbain,Larache,Cabinet de radiologie,1,6
33101010,Larache,Urbain,Larache,Laboratoire d'analyses,2,6
33101010,Larache,Urbain,Larache,Officines de pharmacie,52,6
33101010,Larache,Urbain,Larache,Centre d'hémodialyse,1,6
33101010,Larache,Urbain,Larache,Cabinet de chirurgie dentaire,17,6
33101010,Larache,Urbain,Larache,Cabinets de consultation médicale,41,6
33101010,Larache,Urbain,Larache,Infirmeries,4,6
33101010,Larache,Urbain,Larache,Ambulances,4,6
33101010,Larache,Urbain,Larache,Centre de kinésithérapie,4,6
33107005,Laouamra,Rural,Larache,Officines de pharmacie,4,6
33107005,Laouamra,Rural,Larache,Cabinets de consultation médicale,2,6
33107005,Laouamra,Rural,Larache,Infirmeries,5,6
33107010,L'qolla,Rural,Larache,Officines de pharmacie,1,6
33107020,Tatoft,Rural,Larache,Officines de pharmacie,1,6
33109005,Bni Arouss,Rural,Larache,Officines de pharmacie,1,6
33109010,Bni Garfett,Rural,Larache,Officines de pharmacie,1,6
33109015,Ayacha,Rural,Larache,Officines de pharmacie,1,6
33111005,Khemis Sahel,Rural,Larache,Officines de pharmacie,1,6
33111010,Rissana,Rural,Larache,Officines de pharmacie,1,6
40501005,Ouezzane,Urbain,Ouezzane,Ambulances,2,9
40501005,Ouezzane,Urbain,Ouezzane,Laboratoire d'analyses,2,9
40501005,Ouezzane,Urbain,Ouezzane,Officines de pharmacie,22,9
40501005,Ouezzane,Urbain,Ouezzane,Centre de kinésithérapie,5,9
40501005,Ouezzane,Urbain,Ouezzane,Cabinet de chirurgie dentaire,6,9
40501005,Ouezzane,Urbain,Ouezzane,Cabinets de consultation médicale,27,9
40501005,Ouezzane,Urbain,Ouezzane,Cabinet de radiologie,1,9
40507005,Lamjaara,Rural,Ouezzane,Officines de pharmacie,4,9
40507005,Lamjaara,Rural,Ouezzane,Cabinets de consultation médicale,1,9
40507010,Mzefroune,Rural,Ouezzane,Officines de pharmacie,1,9
40507010,Mzefroune,Rural,Ouezzane,Cabinets de consultation médicale,1,9
40507015,Sidi Bousber,Rural,Ouezzane,Officines de pharmacie,1,9
40507015,Sidi Bousber,Rural,Ouezzane,Cabinets de consultation médicale,1,9
40507020,Teroual,Rural,Ouezzane,Officines de pharmacie,1,9
40507020,Teroual,Rural,Ouezzane,Cabinets de consultation médicale,2,9
40507020,Teroual,Rural,Ouezzane,Officines de pharmacie,2,9
40507025,Sidi Redouane,Rural,Ouezzane,Officines de pharmacie,2,9
40507025,Sidi Redouane,Rural,Ouezzane,Cabinets de consultation médicale,1,9
40509005,Brikcha,Rural,Ouezzane,Officines de pharmacie,1,9
40509005,Brikcha,Rural,Ouezzane,Officines de pharmacie,1,9
40509010,Moqrissat,Rural,Ouezzane,Officines de pharmacie,1,9
40509010,Moqrissat,Rural,Ouezzane,Officines de pharmacie,1,9
40509010,Moqrissat,Rural,Ouezzane,Cabinet de chirurgie dentaire,1,9
40511005,Zoumi,Rural,Ouezzane,Officines de pharmacie,3,9
40511005,Zoumi,Rural,Ouezzane,Cabinets de consultation médicale,2,9
40511010,Kalaat Bouqorra,Rural,Ouezzane,Officines de pharmacie,1,9
51101005,Assilah ,Urbain,Tanger Assilah,Laboratoire d'analyses,1,2
51101005,Assilah ,Urbain,Tanger Assilah,Officines de pharmacie,6,2
51101005,Assilah ,Urbain,Tanger Assilah,Cabinet de chirurgie dentaire,4,2
51101005,Assilah ,Urbain,Tanger Assilah,Cabinets de consultation médicale,11,2
51101010,Bni Makada ,Urbain,Tanger Assilah,Cabinet de chirurgie dentaire,104,2
51101010,Bni Makada ,Urbain,Tanger Assilah,Cabinets de consultation médicale,100,2
51101010,Bni Makada ,Urbain,Tanger Assilah,Infirmeries,1,2
51101010,Bni Makada ,Urbain,Tanger Assilah,Centre de kinésithérapie,1,2
51101010,Bni Makada ,Urbain,Tanger Assilah,Officines de pharmacie,47,2
51101010,Bni Makada ,Urbain,Tanger Assilah,Laboratoire d'analyses,9,2
51101015,Mghogha ,Urbain,Tanger Assilah,Centre d'hémodialyse,3,2
51101015,Mghogha ,Urbain,Tanger Assilah,Officines de pharmacie,35,2
51101015,Mghogha ,Urbain,Tanger Assilah,Laboratoire d'analyses,3,2
51101015,Mghogha ,Urbain,Tanger Assilah,Cabinets de consultation médicale,47,2
51101015,Mghogha ,Urbain,Tanger Assilah,Cabinet de chirurgie dentaire,50,2
51101020,Souani ,Urbain,Tanger Assilah,Cabinets de consultation médicale,56,2
51101020,Souani ,Urbain,Tanger Assilah,Cabinet de chirurgie dentaire,96,2
51101020,Souani ,Urbain,Tanger Assilah,Centre de kinésithérapie,2,2
51101020,Souani ,Urbain,Tanger Assilah,Centre d'hémodialyse,1,2
51101020,Souani ,Urbain,Tanger Assilah,Officines de pharmacie,72,2
51101020,Souani ,Urbain,Tanger Assilah,Laboratoire d'analyses,6,2
51101020,Souani ,Urbain,Tanger Assilah,Ambulances,10,2
51101025,Al Madina ,Urbain,Tanger Assilah,Ambulances,13,2
51101025,Al Madina ,Urbain,Tanger Assilah,Infirmeries,1,2
51101025,Al Madina ,Urbain,Tanger Assilah,Cabinets de consultation médicale,853,2
51101025,Al Madina ,Urbain,Tanger Assilah,Cabinet de chirurgie dentaire,216,2
51101025,Al Madina ,Urbain,Tanger Assilah,Centre de kinésithérapie,6,2
51101025,Al Madina ,Urbain,Tanger Assilah,Cabinet de radiologie,7,2
51101025,Al Madina ,Urbain,Tanger Assilah,Laboratoire d'analyses,29,2
51101025,Al Madina ,Urbain,Tanger Assilah,Centre d'hémodialyse,5,2
51101025,Al Madina ,Urbain,Tanger Assilah,Officines de pharmacie,260,2
51101030,Gueznaia ,Urbain,Tanger Assilah,Cabinets de consultation médicale,1,2
51101030,Gueznaia ,Urbain,Tanger Assilah,Centre d'hémodialyse,1,2
51101030,Gueznaia ,Urbain,Tanger Assilah,Officines de pharmacie,3,2
51101030,Gueznaia ,Urbain,Tanger Assilah,Laboratoire d'analyses,2,2
51103005,Gharbia,Rural,Tanger Assilah,Cabinets de consultation médicale,1,2
51103015,Sidi Lyamani,Rural,Tanger Assilah,Cabinets de consultation médicale,1,2
51105010,Laaouama,Rural,Tanger Assilah,Officines de pharmacie,1,2
57101005,Oued Laou,Urbain,Tetouan,Cabinets de consultation médicale,3,4
57101005,Oued Laou,Urbain,Tetouan,Officines de pharmacie,3,4
57101010,Tetouan,Urbain,Tetouan,Infirmeries,4,4
57101010,Tetouan,Urbain,Tetouan,Cabinet de chirurgie dentaire,61,4
57101010,Tetouan,Urbain,Tetouan,Cabinets de consultation médicale,417,4
57101010,Tetouan,Urbain,Tetouan,Cabinet de radiologie,8,4
57101010,Tetouan,Urbain,Tetouan,Ambulances,4,4
57101010,Tetouan,Urbain,Tetouan,Centre de kinésithérapie,21,4
57101010,Tetouan,Urbain,Tetouan,Centre d'hémodialyse,6,4
57101010,Tetouan,Urbain,Tetouan,Officines de pharmacie,165,4
57101010,Tetouan,Urbain,Tetouan,Laboratoire d'analyses,17,4
57105005,Azla -Zaitoune,Rural,Tetouan,Cabinets de consultation médicale,1,4
57105010,Bni Karrich,Rural,Tetouan,Officines de pharmacie,1,4
57105020,Bni Hassan,Rural,Tetouan,Cabinets de consultation médicale,1,4
57105020,Bni Hassan,Rural,Tetouan,Officines de pharmacie,1,4
57301005,Mdiq,Urbain,Mdiq-Fnideq,Ambulances,2,3
57301005,Mdiq,Urbain,Mdiq-Fnideq,Cabinets de consultation médicale,13,3
57301005,Mdiq,Urbain,Mdiq-Fnideq,Laboratoire d'analyses,1,3
57301005,Mdiq,Urbain,Mdiq-Fnideq,Officines de pharmacie,21,3
57301005,Mdiq,Urbain,Mdiq-Fnideq,Cabinet de chirurgie dentaire,5,3
57301005,Mdiq,Urbain,Mdiq-Fnideq,Centre de kinésithérapie,3,3
57301005,Mdiq,Urbain,Mdiq-Fnideq,Infirmeries,1,3
57301010,Fnideq,Urbain,Mdiq-Fnideq,Cabinet de radiologie,4,3
57301010,Fnideq,Urbain,Mdiq-Fnideq,Cabinets de consultation médicale,9,3
57301010,Fnideq,Urbain,Mdiq-Fnideq,Infirmeries,4,3
57301010,Fnideq,Urbain,Mdiq-Fnideq,Laboratoire d'analyses,1,3
57301010,Fnideq,Urbain,Mdiq-Fnideq,Cabinet de chirurgie dentaire,8,3
57301010,Fnideq,Urbain,Mdiq-Fnideq,Centre de kinésithérapie,3,3
57301010,Fnideq,Urbain,Mdiq-Fnideq,Centre d'hémodialyse,1,3
57301010,Fnideq,Urbain,Mdiq-Fnideq,Officines de pharmacie,25,3
57301015,Martil,Urbain,Mdiq-Fnideq,Infirmeries,1,3
57301015,Martil,Urbain,Mdiq-Fnideq,Cabinet de radiologie,3,3
57301015,Martil,Urbain,Mdiq-Fnideq,Laboratoire d'analyses,1,3
57301015,Martil,Urbain,Mdiq-Fnideq,Officines de pharmacie,46,3
57301015,Martil,Urbain,Mdiq-Fnideq,Cabinet de chirurgie dentaire,2,3
57301015,Martil,Urbain,Mdiq-Fnideq,Cabinets de consultation médicale,4,3
57303010,Allyene    ,Rural,Mdiq-Fnideq,Officines de pharmacie,1,3
