Province,Nom,Catégorie,Discipline,Nombre,territoire_id
Al Hoceima,C. d'oncologie d'Al Hoceima,CRO,Oncologie,11,7
Al Hoceima,Imzouren,HPr,Urgences,5,7
Al Hoceima,Imzouren,HPr,Pédiatrie,8,7
Al Hoceima,Imzouren,HPr,Médecine générale,10,7
Al Hoceima,Imzouren,HPr,Gynécologie-obstétrique,11,7
Al Hoceima,Imzouren,HPr,Chirurgie générale/viscérale,11,7
Al Hoceima,Mohamed V,HP,Urgences,9,7
Al Hoceima,Mohamed V,HP,Psychiatrie,49,7
Al Hoceima,Mohamed V,HP,Gynécologie-obstétrique,10,7
Al Hoceima,Mohammed VI,HP,Urologie,6,7
Al Hoceima,Mohammed VI,HP,Urgences,17,7
Al Hoceima,Mohammed VI,HP,Traumato-orthopédie,15,7
Al Hoceima,Mohammed VI,HP,Pédiatrie,30,7
Al Hoceima,Mohammed VI,HP,Pneumo-phtisiologie,30,7
Al Hoceima,Mohammed VI,HP,Oto-rhino-laryngologie,4,7
Al Hoceima,Mohammed VI,HP,Ophtalmologie,6,7
Al Hoceima,Mohammed VI,HP,Néphrologie,4,7
Al Hoceima,Mohammed VI,HP,Neurologie,3,7
Al Hoceima,Mohammed VI,HP,Neurochirurgie,5,7
Al Hoceima,Mohammed VI,HP,Médecine générale,8,7
Al Hoceima,Mohammed VI,HP,Hématologie,3,7
Al Hoceima,Mohammed VI,HP,Gynécologie-obstétrique,58,7
Al Hoceima,Mohammed VI,HP,Gastro-entérologie,3,7
Al Hoceima,Mohammed VI,HP,Endocrinologie,4,7
Al Hoceima,Mohammed VI,HP,Chirurgie vasculaire,4,7
Al Hoceima,Mohammed VI,HP,Chirurgie réparatrice et plastique,4,7
Al Hoceima,Mohammed VI,HP,Chirurgie pédiatrique,15,7
Al Hoceima,Mohammed VI,HP,Chirurgie maxillo-faciale,4,7
Al Hoceima,Mohammed VI,HP,Chirurgie générale/viscérale,12,7
Al Hoceima,Mohammed VI,HP,Cardiologie,5,7
Al Hoceima,Mohammed VI,HP,Anesthésie réanimation,10,7
Al Hoceima,Targuist,HPr,Urgences,6,7
Al Hoceima,Targuist,HPr,Gynécologie-obstétrique,19,7
Al Hoceima,Targuist,HPr,Chirurgie générale/viscérale,7,7
Chefchaouen,Mohamed V,HP,Urologie,7,8
Chefchaouen,Mohamed V,HP,Traumato-orthopédie,10,8
Chefchaouen,Mohamed V,HP,Pédiatrie,32,8
Chefchaouen,Mohamed V,HP,Psychiatrie,26,8
Chefchaouen,Mohamed V,HP,Pneumo-phtisiologie,10,8
Chefchaouen,Mohamed V,HP,Oto-rhino-laryngologie,10,8
Chefchaouen,Mohamed V,HP,Ophtalmologie,10,8
Chefchaouen,Mohamed V,HP,Néphrologie,2,8
Chefchaouen,Mohamed V,HP,Médecine générale,12,8
Chefchaouen,Mohamed V,HP,Gynécologie-obstétrique,28,8
Chefchaouen,Mohamed V,HP,Gastro-entérologie,6,8
Chefchaouen,Mohamed V,HP,Endocrinologie,6,8
Chefchaouen,Mohamed V,HP,Dermatologie-vénérologie-léprologie,2,8
Chefchaouen,Mohamed V,HP,Chirurgie générale/viscérale,15,8
Chefchaouen,Mohamed V,HP,Cardiologie,4,8
Chefchaouen,Mohamed V,HP,Anesthésie réanimation,6,8
Larache,Ksar El Kebir,HPr,Pédiatrie,18,6
Larache,Ksar El Kebir,HPr,Médecine générale,21,6
Larache,Ksar El Kebir,HPr,Gynécologie-obstétrique,20,6
Larache,Ksar El Kebir,HPr,Chirurgie générale/viscérale,16,6
Larache,Lalla Meriem,HP,Pédiatrie,36,6
Larache,Lalla Meriem,HP,Médecine générale,42,6
Larache,Lalla Meriem,HP,Gynécologie-obstétrique,40,6
Larache,Lalla Meriem,HP,Chirurgie générale/viscérale,62,6
Larache,Lalla Meriem,HP,Anesthésie réanimation,6,6
Mdiq-Fnideq,Hassan II,HPr,Pédiatrie,5,3
Mdiq-Fnideq,Hassan II,HPr,Médecine générale,10,3
Mdiq-Fnideq,Hassan II,HPr,Gynécologie-obstétrique,10,3
Mdiq-Fnideq,Hassan II,HPr,Chirurgie générale/viscérale,5,3
Mdiq-Fnideq,Mohammed VI,HP,Traumato-orthopédie,9,3
Mdiq-Fnideq,Mohammed VI,HP,Pédiatrie,2,3
Mdiq-Fnideq,Mohammed VI,HP,Pneumo-phtisiologie,1,3
Mdiq-Fnideq,Mohammed VI,HP,Néphrologie,1,3
Mdiq-Fnideq,Mohammed VI,HP,Médecine générale,3,3
Mdiq-Fnideq,Mohammed VI,HP,Gynécologie-obstétrique,16,3
Mdiq-Fnideq,Mohammed VI,HP,Endocrinologie,1,3
Mdiq-Fnideq,Mohammed VI,HP,Chirurgie générale/viscérale,6,3
Mdiq-Fnideq,Mohammed VI,HP,Cardiologie,1,3
Ouezzane,Abou Kacem Zahraoui,HP,Pédiatrie,7,9
Ouezzane,Abou Kacem Zahraoui,HP,Médecine générale,40,9
Ouezzane,Abou Kacem Zahraoui,HP,Gynécologie-obstétrique,27,9
Ouezzane,Abou Kacem Zahraoui,HP,Chirurgie générale/viscérale,36,9
Ouezzane,Abou Kacem Zahraoui,HP,Anesthésie réanimation,3,9
Tanger Assilah,Al Kortobi,HR,Rhumatologie,4,2
Tanger Assilah,Al Kortobi,HR,Oto-rhino-laryngologie,28,2
Tanger Assilah,Al Kortobi,HR,Ophtalmologie,33,2
Tanger Assilah,Al Kortobi,HR,Neurologie,12,2
Tanger Assilah,Al Kortobi,HR,Dermatologie-vénérologie-léprologie,4,2
Tanger Assilah,Al Kortobi,HR,Chirurgie réparatrice et plastique,2,2
Tanger Assilah,Al Kortobi,HR,Chirurgie maxillo-faciale,2,2
Tanger Assilah,Arrazi,HPsyR,Psychiatrie,101,2
Tanger Assilah,Assilah,HPr,Urgences,5,2
Tanger Assilah,Assilah,HPr,Pédiatrie,11,2
Tanger Assilah,Assilah,HPr,Médecine générale,19,2
Tanger Assilah,Assilah,HPr,Gynécologie-obstétrique,10,2
Tanger Assilah,Assilah,HPr,Chirurgie générale/viscérale,21,2
Tanger Assilah,Centre d'oncologie,HIR,Oncologie,57,2
Tanger Assilah,Duc De Tovar,HR,Médecine générale,67,2
Tanger Assilah,Duc De Tovar,HR,Anesthésie réanimation,27,2
Tanger Assilah,Hôpital des spécialité Mohamed VI,HIR,Urologie,30,2
Tanger Assilah,Hôpital des spécialité Mohamed VI,HIR,Urgences,52,2
Tanger Assilah,Hôpital des spécialité Mohamed VI,HIR,Traumato-orthopédie,30,2
Tanger Assilah,Hôpital des spécialité Mohamed VI,HIR,Rhumatologie,26,2
Tanger Assilah,Hôpital des spécialité Mohamed VI,HIR,Pneumo-phtisiologie,26,2
Tanger Assilah,Hôpital des spécialité Mohamed VI,HIR,Oto-rhino-laryngologie,13,2
Tanger Assilah,Hôpital des spécialité Mohamed VI,HIR,Ophtalmologie,13,2
Tanger Assilah,Hôpital des spécialité Mohamed VI,HIR,Néphrologie,25,2
Tanger Assilah,Hôpital des spécialité Mohamed VI,HIR,Neurologie,26,2
Tanger Assilah,Hôpital des spécialité Mohamed VI,HIR,Neurochirurgie,30,2
Tanger Assilah,Hôpital des spécialité Mohamed VI,HIR,Médecine interne,26,2
Tanger Assilah,Hôpital des spécialité Mohamed VI,HIR,Hématologie,26,2
Tanger Assilah,Hôpital des spécialité Mohamed VI,HIR,Gastro-entérologie,26,2
Tanger Assilah,Hôpital des spécialité Mohamed VI,HIR,Endocrinologie,20,2
Tanger Assilah,Hôpital des spécialité Mohamed VI,HIR,Dermatologie-vénérologie-léprologie,30,2
Tanger Assilah,Hôpital des spécialité Mohamed VI,HIR,Chirurgie viscérale,30,2
Tanger Assilah,Hôpital des spécialité Mohamed VI,HIR,Chirurgie vasculaire,15,2
Tanger Assilah,Hôpital des spécialité Mohamed VI,HIR,Chirurgie thoracique,26,2
