Province,C. sanitaire,Milieu,Spécialité,Nombre,territoire_id
Al Hoceima,Al Hoceima,Urbain,Pneumo-phtisiologie,1,7
Al Hoceima,Al Hoceima,Urbain,Pédiatrie,1,7
Al Hoceima,Al Hoceima,Urbain,Néphrologie,1,7
Al Hoceima,Al Hoceima,Urbain,Hématologie clinique,1,7
Al Hoceima,Al Hoceima,Urbain,Neurologie,1,7
Al Hoceima,Al Hoceima,Urbain,Anesthésie-réanimation,1,7
Al Hoceima,Al Hoceima,Urbain,Oto-rhino-laryngologie,3,7
Al Hoceima,Al Hoceima,Urbain,Médecine interne,1,7
Al Hoceima,Al Hoceima,Urbain,Médecine générale,5,7
Al Hoceima,Al Hoceima,Urbain,Biologie médicale clinique (ou analyses biol.médicales),1,7
Al Hoceima,Al Hoceima,Urbain,Psychiatrie,1,7
Al Hoceima,Al Hoceima,Urbain,Dermatologie,1,7
Al Hoceima,Al Hoceima,Urbain,Radiologie,2,7
Al Hoceima,Al Hoceima,Urbain,Gynécologie-obstétrique,3,7
Al Hoceima,Al Hoceima,Urbain,Chirurgie générale,2,7
Al Hoceima,Al Hoceima,Urbain,Urologie,1,7
Al Hoceima,Al Hoceima,Urbain,Ophtalmologie,1,7
Al Hoceima,Al Hoceima,Urbain,Cardiologie,1,7
Al Hoceima,Bni Bouayach,Urbain,Médecine générale,3,7
Al Hoceima,Imzouren,Urbain,Médecine générale,6,7
Al Hoceima,Targuist,Urbain,Médecine générale,2,7
Al Hoceima,Issaguen,Rural,Médecine générale,1,7
Al Hoceima,Ketama,Rural,Médecine générale,1,7
Al Hoceima,Ikaouen,Rural,Médecine générale,2,7
Chefchaouen,Chefchaouen,Urbain,Chirurgie générale,1,8
Chefchaouen,Chefchaouen,Urbain,Gynécologie-obstétrique,1,8
Chefchaouen,Chefchaouen,Urbain,Médecine générale,15,8
Chefchaouen,Chefchaouen,Urbain,Biologie médicale clinique (ou analyses biol.médicales),2,8
Chefchaouen,Bab Berred,Rural,Médecine générale,3,8
Chefchaouen,Bab Taza,Rural,Médecine générale,4,8
Chefchaouen,Bni Ahmed,Rural,Médecine générale,1,8
Chefchaouen,Bou Ahmed,Rural,Médecine générale,1,8
Chefchaouen,Bni Rzine,Rural,Médecine générale,1,8
Chefchaouen,Jebha,Rural,Médecine générale,1,8
Chefchaouen,Assifane,Rural,Médecine générale,1,8
Fahs-Anjra,Anjra,Rural,Médecine générale,1,5
Fahs-Anjra,Ksar Sghir,Rural,Médecine générale,1,5
Larache,Ksar El Kebir,Urbain,Néphrologie,1,6
Larache,Ksar El Kebir,Urbain,Biologie médicale clinique (ou analyses biol.médicales),1,6
Larache,Ksar El Kebir,Urbain,Psychiatrie,1,6
Larache,Ksar El Kebir,Urbain,Chirurgie générale,2,6
Larache,Ksar El Kebir,Urbain,Cardiologie,2,6
Larache,Ksar El Kebir,Urbain,Pédiatrie,2,6
Larache,Ksar El Kebir,Urbain,Ophtalmologie,1,6
Larache,Ksar El Kebir,Urbain,Médecine générale,21,6
Larache,Ksar El Kebir,Urbain,Gastro-entérologie,1,6
Larache,Ksar El Kebir,Urbain,Gynécologie-obstétrique,1,6
Larache,Ksar El Kebir,Urbain,Médecine du travail,1,6
Larache,Larache,Urbain,Gastro-entérologie,2,6
Larache,Larache,Urbain,Endocrino. Et maladies métaboliques,2,6
Larache,Larache,Urbain,Gynécologie-obstétrique,3,6
Larache,Larache,Urbain,Traumatologie-orthopédie,1,6
Larache,Larache,Urbain,Pédiatrie,3,6
Larache,Larache,Urbain,Néphrologie,2,6
Larache,Larache,Urbain,Cardiologie,2,6
Larache,Larache,Urbain,Radiologie,2,6
Larache,Larache,Urbain,Dermatologie,3,6
Larache,Larache,Urbain,Psychiatrie,1,6
Larache,Larache,Urbain,Oto-rhino-laryngologie,1,6
Larache,Larache,Urbain,Ophtalmologie,3,6
Larache,Larache,Urbain,Chirurgie générale,5,6
Larache,Larache,Urbain,Pneumo-phtisiologie,1,6
Larache,Larache,Urbain,Médecine du travail,5,6
Larache,Larache,Urbain,Anesthésie-réanimation,2,6
Larache,Larache,Urbain,Médecine du sport,1,6
Larache,Larache,Urbain,Médecine générale,26,6
Larache,Laouamra,Rural,Médecine générale,3,6
Ouezzane,Ouezzane,Urbain,Pédiatrie,1,9
Ouezzane,Ouezzane,Urbain,Néphrologie,1,9
Ouezzane,Ouezzane,Urbain,Anesthésie-réanimation,1,9
Ouezzane,Ouezzane,Urbain,Biologie médicale clinique (ou analyses biol.médicales),1,9
Ouezzane,Ouezzane,Urbain,Gynécologie-obstétrique,1,9
Ouezzane,Ouezzane,Urbain,Ophtalmologie,1,9
Ouezzane,Ouezzane,Urbain,Médecine générale,26,9
Ouezzane,Ouezzane,Urbain,Gastro-entérologie,1,9
Ouezzane,Ouezzane,Urbain,Radiologie,1,9
Ouezzane,Lamjaara,Rural,Médecine générale,1,9
Ouezzane,Mzefroune,Rural,Médecine générale,1,9
Ouezzane,Sidi Bousber,Rural,Médecine générale,1,9
Ouezzane,Teroual,Rural,Médecine générale,2,9
Ouezzane,Sidi Redouane,Rural,Médecine générale,1,9
Ouezzane,Zoumi,Rural,Médecine générale,2,9
Tanger Assilah,Assilah ,Urbain,Médecine du travail,1,2
Tanger Assilah,Assilah ,Urbain,Chirurgie générale,1,2
Tanger Assilah,Assilah ,Urbain,Médecine générale,8,2
Tanger Assilah,Assilah ,Urbain,Médecine interne,1,2
Tanger Assilah,Bni Makada ,Urbain,Ophtalmologie,1,2
Tanger Assilah,Bni Makada ,Urbain,Médecine générale,6,2
Tanger Assilah,Bni Makada ,Urbain,Médecine du travail,6,2
Tanger Assilah,Bni Makada ,Urbain,Anesthésie-réanimation,1,2
Tanger Assilah,Bni Makada ,Urbain,Pédiatrie,1,2
Tanger Assilah,Mghogha ,Urbain,Médecine générale,1,2
Tanger Assilah,Souani ,Urbain,Médecine générale,14,2
Tanger Assilah,Souani ,Urbain,Gynécologie-obstétrique,3,2
Tanger Assilah,Al Madina ,Urbain,Médecine du sport,1,2
Tanger Assilah,Al Madina ,Urbain,Gynécologie-obstétrique,65,2
Tanger Assilah,Al Madina ,Urbain,Psychiatrie,19,2
Tanger Assilah,Al Madina ,Urbain,Chirurgie cancérologique,3,2
Tanger Assilah,Al Madina ,Urbain,Chirurgie vasculaire périphérique,3,2
Tanger Assilah,Al Madina ,Urbain,Médecine générale,298,2
Tanger Assilah,Al Madina ,Urbain,Oto-rhino-laryngologie,26,2
Tanger Assilah,Al Madina ,Urbain,Chirurgie générale,41,2
Tanger Assilah,Al Madina ,Urbain,Radiologie,24,2
Tanger Assilah,Al Madina ,Urbain,Médecine interne,9,2
Tanger Assilah,Al Madina ,Urbain,Neurochirurgie,9,2
