territoire_id,indicateur,valeur
2,hab_par_essp_total,41431.0
3,hab_par_essp_total,28638.0
4,hab_par_essp_total,15420.0
5,hab_par_essp_total,12864.0
6,hab_par_essp_total,15036.0
7,hab_par_essp_total,6057.0
8,hab_par_essp_total,7727.0
9,hab_par_essp_total,6818.0
2,hab_par_essp_urbain,51369.0
3,hab_par_essp_urbain,34901.0
4,hab_par_essp_urbain,23336.0
6,hab_par_essp_urbain,27620.0
7,hab_par_essp_urbain,10700.0
8,hab_par_essp_urbain,15760.0
9,hab_par_essp_urbain,12476.0
2,hab_par_essp_rural,10515.0
3,hab_par_essp_rural,6716.0
4,hab_par_essp_rural,8259.0
5,hab_par_essp_rural,12389.0
6,hab_par_essp_rural,9793.0
7,hab_par_essp_rural,4800.0
8,hab_par_essp_rural,7071.0
9,hab_par_essp_rural,5819.0
2,hab_par_medecin_public_prive,774.0
3,hab_par_medecin_public_prive,2742.0
4,hab_par_medecin_public_prive,1566.0
5,hab_par_medecin_public_prive,8576.0
6,hab_par_medecin_public_prive,1951.0
7,hab_par_medecin_public_prive,2124.0
8,hab_par_medecin_public_prive,4222.0
9,hab_par_medecin_public_prive,3286.0
2,hab_par_medecin_public,1544.0
3,hab_par_medecin_public,3735.0
4,hab_par_medecin_public,5140.0
5,hab_par_medecin_public,10291.0
6,hab_par_medecin_public,3195.0
7,hab_par_medecin_public,2821.0
8,hab_par_medecin_public,6205.0
9,hab_par_medecin_public,6652.0
2,hab_par_medecin_ressp_total,18469.0
3,hab_par_medecin_ressp_total,14319.0
4,hab_par_medecin_ressp_total,13707.0
5,hab_par_medecin_ressp_total,11434.0
6,hab_par_medecin_ressp_total,15492.0
7,hab_par_medecin_ressp_total,15396.0
8,hab_par_medecin_ressp_total,17064.0
9,hab_par_medecin_ressp_total,27272.0
2,hab_par_medecin_ressp_urbain,19977.0
3,hab_par_medecin_ressp_urbain,15269.0
4,hab_par_medecin_ressp_urbain,15289.0
6,hab_par_medecin_ressp_urbain,17262.0
7,hab_par_medecin_ressp_urbain,9273.0
8,hab_par_medecin_ressp_urbain,7880.0
9,hab_par_medecin_ressp_urbain,74858.0
2,hab_par_medecin_ressp_rural,8604.0
3,hab_par_medecin_ressp_rural,6716.0
4,hab_par_medecin_ressp_rural,10839.0
5,hab_par_medecin_ressp_rural,11012.0
6,hab_par_medecin_ressp_rural,13826.0
7,hab_par_medecin_ressp_rural,25600.0
8,hab_par_medecin_ressp_rural,21656.0
9,hab_par_medecin_ressp_rural,21984.0
2,hab_par_infirmier_public,990.0
3,hab_par_infirmier_public,648.0
4,hab_par_infirmier_public,1047.0
5,hab_par_infirmier_public,1559.0
6,hab_par_infirmier_public,716.0
7,hab_par_infirmier_public,508.0
8,hab_par_infirmier_public,1072.0
9,hab_par_infirmier_public,1057.0
2,hab_par_infirmier_ressp_total,6083.0
3,hab_par_infirmier_ressp_total,3580.0
4,hab_par_infirmier_ressp_total,3115.0
5,hab_par_infirmier_ressp_total,1715.0
6,hab_par_infirmier_ressp_total,3117.0
7,hab_par_infirmier_ressp_total,1711.0
8,hab_par_infirmier_ressp_total,2155.0
9,hab_par_infirmier_ressp_total,1921.0
2,hab_par_infirmier_ressp_urbain,6948.0
3,hab_par_infirmier_ressp_urbain,3759.0
4,hab_par_infirmier_ressp_urbain,3167.0
6,hab_par_infirmier_ressp_urbain,5524.0
7,hab_par_infirmier_ressp_urbain,2440.0
8,hab_par_infirmier_ressp_urbain,3002.0
9,hab_par_infirmier_ressp_urbain,2773.0
2,hab_par_infirmier_ressp_rural,2103.0
3,hab_par_infirmier_ressp_rural,1919.0
4,hab_par_infirmier_ressp_rural,2990.0
5,hab_par_infirmier_ressp_rural,1652.0
6,hab_par_infirmier_ressp_rural,2062.0
7,hab_par_infirmier_ressp_rural,1449.0
8,hab_par_infirmier_ressp_rural,2050.0
9,hab_par_infirmier_ressp_rural,1721.0
2,hab_par_lit_public_prive,547.0
3,hab_par_lit_public_prive,3182.0
4,hab_par_lit_public_prive,747.0
6,hab_par_lit_public_prive,1401.0
7,hab_par_lit_public_prive,836.0
8,hab_par_lit_public_prive,2202.0
9,hab_par_lit_public_prive,1576.0
2,hab_par_lit_public,1016.0
3,hab_par_lit_public,3182.0
4,hab_par_lit_public,1396.0
6,hab_par_lit_public,1915.0
7,hab_par_lit_public,910.0
8,hab_par_lit_public,2202.0
9,hab_par_lit_public,2413.0
2,hab_par_dentiste_public_prive,3161.0
3,hab_par_dentiste_public_prive,12273.0
4,hab_par_dentiste_public_prive,9071.0
5,hab_par_dentiste_public_prive,34303.0
6,hab_par_dentiste_public_prive,15036.0
7,hab_par_dentiste_public_prive,20528.0
8,hab_par_dentiste_public_prive,51193.0
9,hab_par_dentiste_public_prive,34090.0
2,hab_par_dentiste_public,102198.0
3,hab_par_dentiste_public,42956.0
4,hab_par_dentiste_public,88117.0
5,hab_par_dentiste_public,34303.0
6,hab_par_dentiste_public,56804.0
7,hab_par_dentiste_public,73900.0
8,hab_par_dentiste_public,102386.0
9,hab_par_dentiste_public,272718.0
2,hab_par_scanner_public,255494.0
3,hab_par_scanner_public,128869.0
6,hab_par_scanner_public,255618.0
7,hab_par_scanner_public,92375.0
8,hab_par_scanner_public,204772.0
9,hab_par_scanner_public,272718.0
2,hab_par_officine_total,3615.0
3,hab_par_officine_total,2771.0
4,hab_par_officine_total,3628.0
5,hab_par_officine_total,5145.0
6,hab_par_officine_total,4823.0
7,hab_par_officine_total,5132.0
8,hab_par_officine_total,8903.0
9,hab_par_officine_total,6652.0
2,hab_par_officine_urbain,3400.0
3,hab_par_officine_urbain,2656.0
4,hab_par_officine_urbain,2639.0
6,hab_par_officine_urbain,2907.0
7,hab_par_officine_urbain,2529.0
8,hab_par_officine_urbain,3708.0
9,hab_par_officine_urbain,3403.0
2,hab_par_officine_rural,94639.0
3,hab_par_officine_rural,13431.0
4,hab_par_officine_rural,86715.0
5,hab_par_officine_rural,4956.0
6,hab_par_officine_rural,21367.0
7,hab_par_officine_rural,13553.0
8,hab_par_officine_rural,11948.0
9,hab_par_officine_rural,10414.0
