Province,Etablissement,Specialité,Nombre,territoire_id
Tanger Assilah,SAMU,Médecine d'urgence et de catastrophe,1,2
Tanger Assilah,SAMU,Médecine du travail,2,2
Tanger Assilah,SAMU,Médecine du sport,1,2
Al Hoceima,CRTS AlHoceima,Pharmacie,1,7
Al Hoceima,CRTS AlHoceima,Médecine générale,2,7
Al Hoceima,CRTS AlHoceima,Radiothérapie,7,7
Al Hoceima,CRTS AlHoceima,Oncologie médicale,7,7
Tanger Assilah,CRTS Tanger,Médecine générale,2,2
Tanger Assilah,CRTS Tanger,Biologie médicale clinique (ou analyses biol.médicales),1,2
Tanger Assilah,CRTS Tanger,Médecine du travail,2,2
Tetouan,CRTS Tétouan,Médecine générale,4,4
Al Hoceima,Bir Anzarane,Chirurgie dentaire,2,7
Al Hoceima,Bir Anzarane,Médecine générale,3,7
Al Hoceima,Bir Anzarane,Psychiatrie,2,7
Al Hoceima,Bir Anzarane,"Médecine communautaire (méd prév,santé pub et hyg)",1,7
Al Hoceima,Abdellah Hamou,Médecine générale,1,7
Al Hoceima,Bni Bouayach,Médecine générale,1,7
Al Hoceima,Imzouren    ,Médecine générale,1,7
Al Hoceima,Targuist    ,Médecine générale,2,7
Al Hoceima,Hommane El Fatouaki,Médecine générale,1,7
Al Hoceima,Ajdir (Azghar),Médecine générale,1,7
Al Hoceima,Ait youssef ou Ali(S.Bouafif),Médecine générale,1,7
Al Hoceima,Bni Abdellah,Médecine générale,1,7
Al Hoceima,Tamassint,Médecine générale,1,7
Al Hoceima,Izemmouren,Médecine générale,1,7
Al Hoceima,Tala Youssef,Médecine générale,1,7
Al Hoceima,Nekkour,Médecine générale,1,7
Al Hoceima,Bni Bchir (Bab Stot),Médecine générale,1,7
Al Hoceima,Zarkat,Médecine générale,1,7
Al Hoceima,Issaguen,Médecine générale,1,7
Al Hoceima,Bir Anzarane,Chirurgie dentaire,2,7
Al Hoceima,Bir Anzarane,Médecine générale,3,7
Al Hoceima,Bir Anzarane,Psychiatrie,2,7
Al Hoceima,Bir Anzarane,"Médecine communautaire (méd prév,santé pub et hyg)",1,7
Al Hoceima,Bir Anzarane,Pneumo-phtisiologie,1,7
Al Hoceima,Mohamed V,Pharmacie,1,7
Al Hoceima,Mohamed V,Médecine générale,4,7
Al Hoceima,Mohamed V,Psychiatrie,1,7
Al Hoceima,C. d'oncologie d'Al Hoceima,Néphrologie,1,7
Al Hoceima,C. d'oncologie d'Al Hoceima,Médecine générale,1,7
Al Hoceima,Targuist,Gynécologie-obstétrique,1,7
