province_prefecture,fk_territoire,indicateur,valeur,territoire_id
Tanger - Tétouan - Al Hoceima,tanger tetouan al hoceima,electricite_ventes_provinces_2024,4057,1
Tanger - Tétouan - Al Hoceima,tanger tetouan al hoceima,electricite_ventes_provinces_2023,4027,1
Tanger - Tétouan - Al Hoceima,tanger tetouan al hoceima,electricite_ventes_provinces_2022,4005,1
Al Hoceima,al hoceima,electricite_ventes_provinces_2024,221,7
Al Hoceima,al hoceima,electricite_ventes_provinces_2023,215,7
Al Hoceima,al hoceima,electricite_ventes_provinces_2022,207,7
Chefchaouen,chefchaouen,electricite_ventes_provinces_2024,115,8
Chefchaouen,chefchaouen,electricite_ventes_provinces_2023,104,8
Chefchaouen,chefchaouen,electricite_ventes_provinces_2022,99,8
Fahs-Anjra,fahs anjra,electricite_ventes_provinces_2024,342,5
Fahs-Anjra,fahs anjra,electricite_ventes_provinces_2023,340,5
Fahs-Anjra,fahs anjra,electricite_ventes_provinces_2022,317,5
Larache,larache,electricite_ventes_provinces_2024,450,6
Larache,larache,electricite_ventes_provinces_2023,448,6
Larache,larache,electricite_ventes_provinces_2022,449,6
Ouezzane,ouezzane,electricite_ventes_provinces_2024,91,9
Ouezzane,ouezzane,electricite_ventes_provinces_2023,92,9
Ouezzane,ouezzane,electricite_ventes_provinces_2022,90,9
Tanger-Assilah,tanger assilah,electricite_ventes_provinces_2024,1914,2
Tanger-Assilah,tanger assilah,electricite_ventes_provinces_2023,1953,2
Tanger-Assilah,tanger assilah,electricite_ventes_provinces_2022,1976,2
Tétouan,tetouan,electricite_ventes_provinces_2024,779,4
Tétouan,tetouan,electricite_ventes_provinces_2023,732,4
Tétouan,tetouan,electricite_ventes_provinces_2022,724,4
M'Diq-Fnideq,m'diq fnideq,electricite_ventes_provinces_2024,144,3
M'Diq-Fnideq,m'diq fnideq,electricite_ventes_provinces_2023,142,3
M'Diq-Fnideq,m'diq fnideq,electricite_ventes_provinces_2022,142,3
