territoire_id,indicateur,valeur
1,Population municipale - Pop_municipale,4008655.0
1,Ménages - Ménages population,1048860.0
1,Taille moyenne des ménages - Taille moyenne,3.8
1,Ménages sédentaires,1047295.0
1,Type de logement (%) - Villa / Étage de villa,0.9
1,Type de logement (%) - Appartement,16.1
1,Type de logement (%) - Maison marocaine,66.3
1,Type de logement (%) - Maison sommaire / Bidonville,1.0
1,Type de logement (%) - Logement rural,15.0
1,Type de logement (%) - Autre,0.7
1,Nombre moyen de personnes par pièce d'habitation,1.5
1,Statut d'occupation du logement (%) - Propriétaire,62.8
1,Statut d'occupation du logement (%) - Locataire,25.1
1,Statut d'occupation du logement (%) - Autre,12.0
1,Âge du logement (%) - Moins de 10 ans,22.0
1,Âge du logement (%) - 10-19 ans,33.6
1,Âge du logement (%) - 20-49 ans,34.7
1,Âge du logement (%) - 50 ans ou plus,9.7
1,Disponibilité des éléments essentiels de confort (%) - Cuisine,97.4
1,Disponibilité des éléments essentiels de confort (%) - W.-C.,98.4
1,Disponibilité des éléments essentiels de confort (%) - Pièce d'eau,61.4
1,Disponibilité des éléments essentiels de confort (%) - Électricité,97.4
1,Disponibilité des éléments essentiels de confort (%) - Eau courante,75.7
1,Mode d’évacuation des eaux usées (%) - Réseau public d'assainissement,70.0
1,Mode d’évacuation des eaux usées (%) - Fosse septique,15.7
1,Mode d’évacuation des eaux usées (%) - Autre,14.3
1,Mode d’évacuation des déchets ménagers (%) - Bac à ordures de la commune,65.6
1,Mode d’évacuation des déchets ménagers (%) - Camion de la commune / Camion privé,6.5
1,Mode d’évacuation des déchets ménagers (%) - Dans la nature,25.7
1,Mode d’évacuation des déchets ménagers (%) - Autre,2.2
1,Combustible de cuisson utilisé (%) - Gaz,97.7
1,Combustible de cuisson utilisé (%) - Électricité,0.4
1,Combustible de cuisson utilisé (%) - Charbon,0.3
1,Combustible de cuisson utilisé (%) - Bois énergie,1.4
1,Combustible de cuisson utilisé (%) - Autre,0.1
1,Distance moyenne des logements à la route goudronnée (Km),2.3
2,Population municipale - Pop_municipale,1487236.0
2,Ménages - Ménages population,418844.0
2,Taille moyenne des ménages - Taille moyenne,3.6
2,Ménages sédentaires,418108.0
2,Type de logement (%) - Villa / Étage de villa,1.4
2,Type de logement (%) - Appartement,25.1
2,Type de logement (%) - Maison marocaine,70.2
2,Type de logement (%) - Maison sommaire / Bidonville,0.7
2,Type de logement (%) - Logement rural,1.9
2,Type de logement (%) - Autre,0.7
2,Nombre moyen de personnes par pièce d'habitation,1.4
2,Statut d'occupation du logement (%) - Propriétaire,49.4
2,Statut d'occupation du logement (%) - Locataire,40.5
2,Statut d'occupation du logement (%) - Autre,10.1
2,Âge du logement (%) - Moins de 10 ans,28.4
2,Âge du logement (%) - 10-19 ans,34.1
2,Âge du logement (%) - 20-49 ans,32.7
2,Âge du logement (%) - 50 ans ou plus,4.8
2,Disponibilité des éléments essentiels de confort (%) - Cuisine,98.6
2,Disponibilité des éléments essentiels de confort (%) - W.-C.,99.7
2,Disponibilité des éléments essentiels de confort (%) - Pièce d'eau,72.8
2,Disponibilité des éléments essentiels de confort (%) - Électricité,98.7
2,Disponibilité des éléments essentiels de confort (%) - Eau courante,96.8
2,Mode d’évacuation des eaux usées (%) - Réseau public d'assainissement,94.8
2,Mode d’évacuation des eaux usées (%) - Fosse septique,3.5
2,Mode d’évacuation des eaux usées (%) - Autre,1.6
2,Mode d’évacuation des déchets ménagers (%) - Bac à ordures de la commune,86.7
2,Mode d’évacuation des déchets ménagers (%) - Camion de la commune / Camion privé,9.0
2,Mode d’évacuation des déchets ménagers (%) - Dans la nature,3.4
2,Mode d’évacuation des déchets ménagers (%) - Autre,0.9
2,Combustible de cuisson utilisé (%) - Gaz,99.3
2,Combustible de cuisson utilisé (%) - Électricité,0.5
2,Combustible de cuisson utilisé (%) - Charbon,0.0
2,Combustible de cuisson utilisé (%) - Bois énergie,0.1
2,Combustible de cuisson utilisé (%) - Autre,0.1
2,Distance moyenne des logements à la route goudronnée (Km),0.8
3,Population municipale - Pop_municipale,252283.0
3,Ménages - Ménages population,67797.0
3,Taille moyenne des ménages - Taille moyenne,3.7
3,Ménages sédentaires,67713.0
3,Type de logement (%) - Villa / Étage de villa,0.8
3,Type de logement (%) - Appartement,25.8
3,Type de logement (%) - Maison marocaine,71.9
3,Type de logement (%) - Maison sommaire / Bidonville,0.3
3,Type de logement (%) - Logement rural,0.8
3,Type de logement (%) - Autre,0.5
3,Nombre moyen de personnes par pièce d'habitation,1.6
3,Statut d'occupation du logement (%) - Propriétaire,57.3
3,Statut d'occupation du logement (%) - Locataire,30.4
3,Statut d'occupation du logement (%) - Autre,12.3
3,Âge du logement (%) - Moins de 10 ans,23.9
3,Âge du logement (%) - 10-19 ans,49.9
3,Âge du logement (%) - 20-49 ans,24.3
3,Âge du logement (%) - 50 ans ou plus,1.9
3,Disponibilité des éléments essentiels de confort (%) - Cuisine,99.0
3,Disponibilité des éléments essentiels de confort (%) - W.-C.,99.6
3,Disponibilité des éléments essentiels de confort (%) - Pièce d'eau,76.5
3,Disponibilité des éléments essentiels de confort (%) - Électricité,98.6
3,Disponibilité des éléments essentiels de confort (%) - Eau courante,93.0
3,Mode d’évacuation des eaux usées (%) - Réseau public d'assainissement,92.4
3,Mode d’évacuation des eaux usées (%) - Fosse septique,6.4
3,Mode d’évacuation des eaux usées (%) - Autre,1.2
3,Mode d’évacuation des déchets ménagers (%) - Bac à ordures de la commune,80.1
3,Mode d’évacuation des déchets ménagers (%) - Camion de la commune / Camion privé,15.6
3,Mode d’évacuation des déchets ménagers (%) - Dans la nature,2.5
3,Mode d’évacuation des déchets ménagers (%) - Autre,1.8
3,Combustible de cuisson utilisé (%) - Gaz,98.9
3,Combustible de cuisson utilisé (%) - Électricité,0.9
3,Combustible de cuisson utilisé (%) - Charbon,0.0
3,Combustible de cuisson utilisé (%) - Bois énergie,0.1
3,Combustible de cuisson utilisé (%) - Autre,0.1
3,Distance moyenne des logements à la route goudronnée (Km),2.1
4,Population municipale - Pop_municipale,607887.0
4,Ménages - Ménages population,157384.0
4,Taille moyenne des ménages - Taille moyenne,3.9
4,Ménages sédentaires,157227.0
4,Type de logement (%) - Villa / Étage de villa,1.0
4,Type de logement (%) - Appartement,19.6
4,Type de logement (%) - Maison marocaine,70.0
4,Type de logement (%) - Maison sommaire / Bidonville,0.4
4,Type de logement (%) - Logement rural,8.6
4,Type de logement (%) - Autre,0.4
4,Nombre moyen de personnes par pièce d'habitation,1.5
4,Statut d'occupation du logement (%) - Propriétaire,64.7
4,Statut d'occupation du logement (%) - Locataire,21.3
4,Statut d'occupation du logement (%) - Autre,13.9
4,Âge du logement (%) - Moins de 10 ans,17.0
4,Âge du logement (%) - 10-19 ans,33.5
4,Âge du logement (%) - 20-49 ans,38.9
4,Âge du logement (%) - 50 ans ou plus,10.6
4,Disponibilité des éléments essentiels de confort (%) - Cuisine,98.0
4,Disponibilité des éléments essentiels de confort (%) - W.-C.,98.8
4,Disponibilité des éléments essentiels de confort (%) - Pièce d'eau,58.5
4,Disponibilité des éléments essentiels de confort (%) - Électricité,98.0
4,Disponibilité des éléments essentiels de confort (%) - Eau courante,81.3
4,Mode d’évacuation des eaux usées (%) - Réseau public d'assainissement,77.8
4,Mode d’évacuation des eaux usées (%) - Fosse septique,13.5
4,Mode d’évacuation des eaux usées (%) - Autre,8.8
4,Mode d’évacuation des déchets ménagers (%) - Bac à ordures de la commune,80.0
