territoire_id,indicateur,valeur
2,Population sédentaire active occupée (15+),478322.0
2,Mode de transport (%) - À pieds,26.2
2,Mode de transport (%) - Motocycle/ Bicyclette,2.7
2,Mode de transport (%) - Voiture privée,12.3
2,Mode de transport (%) - Bus,7.9
2,Mode de transport (%) - Taxi,11.1
2,Mode de transport (%) - Transport de l'employeur / Etablissement,33.3
2,Mode de transport (%) - Train,0.1
2,Mode de transport (%) - Tram,0.0
2,Mode de transport (%) - Transport informel,1.1
2,Mode de transport (%) - Animaux,0.1
2,Mode de transport (%) - Autre,0.5
2,Mode de transport (%) - Ne se déplace pas,4.6
3,Population sédentaire active occupée (15+),58919.0
3,Mode de transport (%) - À pieds,54.8
3,Mode de transport (%) - Motocycle/ Bicyclette,6.4
3,Mode de transport (%) - Voiture privée,10.8
3,Mode de transport (%) - Bus,2.6
3,Mode de transport (%) - Taxi,12.0
3,Mode de transport (%) - Transport de l'employeur / Etablissement,7.2
3,Mode de transport (%) - Train,0.1
3,Mode de transport (%) - Tram,0.0
3,Mode de transport (%) - Transport informel,0.8
3,Mode de transport (%) - Animaux,0.1
3,Mode de transport (%) - Autre,0.3
3,Mode de transport (%) - Ne se déplace pas,5.0
4,Population sédentaire active occupée (15+),162334.0
4,Mode de transport (%) - À pieds,47.9
4,Mode de transport (%) - Motocycle/ Bicyclette,2.8
4,Mode de transport (%) - Voiture privée,11.6
4,Mode de transport (%) - Bus,8.4
4,Mode de transport (%) - Taxi,11.6
4,Mode de transport (%) - Transport de l'employeur / Etablissement,7.1
4,Mode de transport (%) - Train,0.1
4,Mode de transport (%) - Tram,0.0
4,Mode de transport (%) - Transport informel,2.1
4,Mode de transport (%) - Animaux,0.8
4,Mode de transport (%) - Autre,0.4
4,Mode de transport (%) - Ne se déplace pas,7.3
5,Population sédentaire active occupée (15+),27370.0
5,Mode de transport (%) - À pieds,35.5
5,Mode de transport (%) - Motocycle/ Bicyclette,5.3
5,Mode de transport (%) - Voiture privée,7.9
5,Mode de transport (%) - Bus,6.3
5,Mode de transport (%) - Taxi,6.7
5,Mode de transport (%) - Transport de l'employeur / Etablissement,15.2
5,Mode de transport (%) - Train,0.0
5,Mode de transport (%) - Tram,0.0
5,Mode de transport (%) - Transport informel,8.9
5,Mode de transport (%) - Animaux,0.1
5,Mode de transport (%) - Autre,0.5
5,Mode de transport (%) - Ne se déplace pas,13.7
6,Population sédentaire active occupée (15+),122590.0
6,Mode de transport (%) - À pieds,51.1
6,Mode de transport (%) - Motocycle/ Bicyclette,8.1
6,Mode de transport (%) - Voiture privée,7.5
6,Mode de transport (%) - Bus,2.3
6,Mode de transport (%) - Taxi,7.4
